fdc_id,description,protein,calories,sugar,sodium,portion_description,gram_weight
2706049,"Chicken thigh, fried, coated, skin / coating not eaten, from pre-cooked",24.07,192,0,410,1 small thigh,65
2706049,"Chicken thigh, fried, coated, skin / coating not eaten, from pre-cooked",24.07,192,0,410,Quantity not specified,70
2706049,"Chicken thigh, fried, coated, skin / coating not eaten, from pre-cooked",24.07,192,0,410,"1 cup, cooked, diced",135
2706049,"Chicken thigh, fried, coated, skin / coating not eaten, from pre-cooked",24.07,192,0,410,1 medium thigh,70
2706049,"Chicken thigh, fried, coated, skin / coating not eaten, from pre-cooked",24.07,192,0,410,"1 oz, cooked",28.35
2706050,"Chicken thigh, fried, coated, skin / coating eaten, from fast food",16.26,294,0.1,748,Quantity not specified,110
2706050,"Chicken thigh, fried, coated, skin / coating eaten, from fast food",16.26,294,0.1,748,1 thigh,110
2706050,"Chicken thigh, fried, coated, skin / coating eaten, from fast food",16.26,294,0.1,748,"1 oz, cooked",28.35
2706050,"Chicken thigh, fried, coated, skin / coating eaten, from fast food",16.26,294,0.1,748,"1 cup, cooked, diced",135
2706051,"Chicken thigh, fried, coated, skin / coating not eaten, from fast food",19.42,218,0.1,613,1 thigh,70
2706051,"Chicken thigh, fried, coated, skin / coating not eaten, from fast food",19.42,218,0.1,613,"1 oz, cooked",28.35
2706051,"Chicken thigh, fried, coated, skin / coating not eaten, from fast food",19.42,218,0.1,613,"1 cup, cooked, diced",135
2706051,"Chicken thigh, fried, coated, skin / coating not eaten, from fast food",19.42,218,0.1,613,Quantity not specified,70
2706052,"Chicken thigh, fried, coated, skin / coating eaten, from restaurant",16.26,294,0.1,748,1 thigh,110
2706052,"Chicken thigh, fried, coated, skin / coating eaten, from restaurant",16.26,294,0.1,748,Quantity not specified,110
2706052,"Chicken thigh, fried, coated, skin / coating eaten, from restaurant",16.26,294,0.1,748,"1 cup, cooked, diced",135
2706052,"Chicken thigh, fried, coated, skin / coating eaten, from restaurant",16.26,294,0.1,748,"1 oz, cooked",28.35
2706053,"Chicken thigh, fried, coated, skin / coating not eaten, from restaurant",19.42,218,0.1,613,"1 cup, cooked, diced",135
2706053,"Chicken thigh, fried, coated, skin / coating not eaten, from restaurant",19.42,218,0.1,613,Quantity not specified,70
2706053,"Chicken thigh, fried, coated, skin / coating not eaten, from restaurant",19.42,218,0.1,613,"1 oz, cooked",28.35
2706053,"Chicken thigh, fried, coated, skin / coating not eaten, from restaurant",19.42,218,0.1,613,1 thigh,70
